"time","chlorophyll","mei","enso_event","sst","direction","speed"
2020-10-16 12:00:00,33.107212,-1.2,"La Nina",15.918749,331.343052025,4.42266696375
2020-11-15 12:00:00,55.49073,-1.1,"La Nina",13.2,340.07246958,5.9261464452
2020-12-16 12:00:00,11.043255,-1.1,"La Nina",11.675833,262.2605179425,5.56783234125
2021-01-16 12:00:00,6.384415,-1.2,"La Nina",12.416249,331.7214017,5.8946663436
2021-02-14 12:00:00,13.939684,-1,"La Nina",12.412,269.815898975,6.873503189
2021-03-16 12:00:00,16.517166,-0.8,"La Nina",11.9175,312.389121875,6.90497302375
2021-04-15 12:00:00,17.726542,-0.9,"La Nina",12.87,316.647933225,7.25977245575
2021-05-16 12:00:00,10.32113,-1.1,"La Nina",12.491249,313.08422906,7.3016691872
2021-06-15 12:00:00,61.214554,-1,"La Nina",16.66,285.260471025,6.038699663
2021-07-16 12:00:00,9.911848,-1.4,"La Nina",12.091666,293.82543985,5.077241568
2021-08-16 12:00:00,21.697887,-1.3,"La Nina",14.836666,288.93443448,4.3100137726
2021-09-15 12:00:00,104.75298,-1.4,"La Nina",18.085,303.751528525,5.12721468075
2021-10-16 12:00:00,111.642105,-1.5,"La Nina",15.035,295.968648,5.658295444
2021-11-15 12:00:00,33.275383,-1.4,"La Nina",14.586999,258.44213604375,4.976551269
2021-12-16 12:00:00,12.458508,-1.2,"La Nina",12.818749,253.8763109,6.69203573175
2022-01-16 12:00:00,10.318815,-1,"La Nina",13.036666,146.5662514998,5.0151952404
2022-02-14 12:00:00,16.570587,-1,"La Nina",13.04,340.115894525,6.06705859625
2022-03-16 12:00:00,18.02525,-1.3,"La Nina",12.36,330.03323545,7.3271655205
2022-04-15 12:00:00,17.218262,-1.6,"La Nina",13.38,317.222568725,7.87145741225
2022-05-16 12:00:00,74.006615,-1.6,"La Nina",14.34,318.2580775,7.5242829308
2022-06-15 12:00:00,42.97099,-1.9,"La Nina",NA,320.72304105,6.8317659145
2022-07-16 12:00:00,93.36861,-2.2,"La Nina",15.2675,317.4930072,5.6287753994
2022-08-16 12:00:00,36.55723,-1.7,"La Nina",17.9925,322.494143325,5.48212472275
2022-09-15 12:00:00,23.093729,-1.7,"La Nina",16.806667,269.948503225,5.28714701475
2022-10-16 12:00:00,39.13518,-1.7,"La Nina",16.2575,328.70096952,5.402028512
2022-11-15 12:00:00,11.955587,-1.5,"La Nina",12.92,259.9021453375,5.19865436
2022-12-16 12:00:00,9.264391,-1.3,"La Nina",12.323333,98.860766702,4.5424917555
2023-01-16 12:00:00,8.171145,-1.1,"La Nina",12.8741665,149.4571253144,7.4347363298
2023-02-14 12:00:00,6.4114556,-0.9,"La Nina",11.0275,239.841139214,7.10884305925
2023-03-16 12:00:00,6.1591444,-0.8,"La Nina",12.811249,269.0594759,6.7935637295
2023-04-15 12:00:00,14.062803,-0.4,"La Nina",12.474999,314.44949968,6.9462236144
2023-05-16 12:00:00,15.077798,-0.1,"La Nina",13.855,308.3408401,5.7564662445
2023-06-15 12:00:00,28.922546,0.4,"El Nino",NA,284.372914575,5.35263573125
2023-07-16 12:00:00,7.787551,0.5,"El Nino",16.055,310.16468572,6.416504645
2023-08-16 12:00:00,23.034798,0.5,"El Nino",15.0199995,295.75876705,4.456488943
2023-09-15 12:00:00,12.597029,0.7,"El Nino",17.0075,302.44386475,4.63187489475
2023-10-16 12:00:00,19.571999,0.5,"El Nino",15.5525,333.53032774,4.9328801032
2023-11-15 12:00:00,9.310419,0.9,"El Nino",14.637499,275.962080933333,5.89367627133333
2023-12-16 12:00:00,9.424413,1.1,"El Nino",14.466666,NA,NA
2024-01-16 12:00:00,7.3426375,0.7,"El Nino",13.81875,NA,NA
2024-02-15,13.012729,0.7,"El Nino",NA,NA,NA
